channelId,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId,textDisplay_processed,sentiment_polarity,sentiment_BERT
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"Pero era obvio que iba a ser horrible este juego, teniendo tantos personajes, tantas historias, eligen a GOLLUM !!!???. tranquilamente pueden hacer como el howars legacy pero siendo un soldado de gondor o uno de la banda de aragorn, con mecanicas de aventura y accion, no se, algo divertido y bueno.","Pero era obvio que iba a ser horrible este juego, teniendo tantos personajes, tantas historias, eligen a GOLLUM !!!???. tranquilamente pueden hacer como el howars legacy pero siendo un soldado de gondor o uno de la banda de aragorn, con mecanicas de aventura y accion, no se, algo divertido y bueno.",@MrMauro21,https://yt3.ggpht.com/ytc/AIf8zZRrK1_huIHN1cJRA-uqTZS7pS3tKTC_283p4Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC-RAxAzUHWW10a1hBQetTdQ,{'value': 'UC-RAxAzUHWW10a1hBQetTdQ'},True,none,1,2023-06-05T13:00:05Z,2023-06-05T13:00:05Z,,obvio iba ser horrible juego tantos personajes tantas historias eligen gollum tranquilamente pueden hacer howars legacy siendo soldado gondor banda aragorn mecanicas aventura accion divertido bueno,-0.5423,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"Se ve horrible, pero no horrible de chido, sino horrible de generación pasada. Hasta el Witcher 3 se ve muchísimo mejor, aún antes de su upgrade gráfico","Se ve horrible, pero no horrible de chido, sino horrible de generación pasada. Hasta el Witcher 3 se ve muchísimo mejor, aún antes de su upgrade gráfico",@n.deadman8072,https://yt3.ggpht.com/ytc/AIf8zZRrmHydZF6O9wRdfBfjQSE3aNO_nRoJ9it58SRTjA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCe_alcxc95LCHNGpandSCSw,{'value': 'UCe_alcxc95LCHNGpandSCSw'},True,none,0,2023-05-31T18:50:09Z,2023-05-31T18:51:14Z,,ve horrible horrible chido sino horrible generación pasada witcher 3 ve muchísimo mejor aún upgrade gráfico,-0.8885,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,A mí me parece buena idea ya que gollum me encanta y es un personaje mítico pero partiendo de que gollum gráficamente es lamentable y es lo principal del juego pues nada podía salir bien <br>Este juego es una falta de respeto a tolkien y al propio personaje de gollum,"A mí me parece buena idea ya que gollum me encanta y es un personaje mítico pero partiendo de que gollum gráficamente es lamentable y es lo principal del juego pues nada podía salir bien 
Este juego es una falta de respeto a tolkien y al propio personaje de gollum",@victoribarra4153,https://yt3.ggpht.com/ytc/AIf8zZQQReM8SnlcnShmJGP1OyVha4EmSmkBEuqZXA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCNnZPaLqPpm9gTluBlocoXA,{'value': 'UCNnZPaLqPpm9gTluBlocoXA'},True,none,0,2023-05-29T13:33:27Z,2023-05-29T13:33:27Z,,parece buena idea gollum encanta personaje mítico partiendo gollum gráficamente lamentable principal juego pues podía salir bien breste juego falta respeto tolkien propio personaje gollum,-0.3612,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"el ultimo buen juego del señor de los anillos, o los ultimos buenos juegos para mi:<br><br>Shadow of Mordor  y Shadow of <br>War.<br><br>toda la saga Battle for Middle Earth.<br><br>eh dicho!!","el ultimo buen juego del señor de los anillos, o los ultimos buenos juegos para mi:

Shadow of Mordor  y Shadow of 
War.

toda la saga Battle for Middle Earth.

eh dicho!!",@Leoelpillo,https://yt3.ggpht.com/ytc/AIf8zZSHPXydrbx_b9jSXDq2bNqSL29H3DaPd8KNacsPKQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC7OFusd0XDmsWf0I65UK7HA,{'value': 'UC7OFusd0XDmsWf0I65UK7HA'},True,none,1,2023-05-29T12:18:50Z,2023-05-29T12:18:50Z,,ultimo buen juego señor anillos ultimos buenos juegos mibrbrshadow of mordor shadow of brwarbrbrtoda saga battle for middle earthbrbreh dicho,-0.3818,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"marre mia, destrozaron y despedazaron star wars, y ahora estan haciendo lo mismo con el señor de los anillos, parece que la industria se ha empeñado en matar a toda gran franquicia","marre mia, destrozaron y despedazaron star wars, y ahora estan haciendo lo mismo con el señor de los anillos, parece que la industria se ha empeñado en matar a toda gran franquicia",@Nmakiavelo,https://yt3.ggpht.com/ytc/AIf8zZRXQOcW9taNsvRPHewQtRXcS9QGkJuSuAjNXse68g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCVm9j5IDM95D5RgFB3VTZOw,{'value': 'UCVm9j5IDM95D5RgFB3VTZOw'},True,none,0,2023-05-27T17:55:14Z,2023-05-27T17:55:14Z,,marre mia destrozaron despedazaron star wars ahora estan haciendo mismo señor anillos parece industria empeñado matar toda gran franquicia,-0.7003,
UC05m1jT_pGm-DJKlpXsBYkA,,"Shadows of mordor y shadows of war. Son dos juegazos del señor de los anillos, sobretodo el shadows of war, que tenes todo mordor para explorar","Shadows of mordor y shadows of war. Son dos juegazos del señor de los anillos, sobretodo el shadows of war, que tenes todo mordor para explorar",@inhaleOcea,https://yt3.ggpht.com/gLjjkod50ivSEIXxa62KnfzZZXlqeEPDj21B0OAny_OpccNarexWlU-eN1Jes8uD8inOkpCPdwc=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@inhaleOcea,{'value': 'UCHxcdjHWg9lw00CS7QlGFaA'},True,none,3,2023-06-01T15:13:54Z,2023-06-01T15:13:54Z,UgyeaImvYeucohqOTKN4AaABAg,shadows of mordor shadows of war dos juegazos señor anillos sobretodo shadows of war tenes mordor explorar,-0.8316,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"Horrible, gráficos del año 2005","Horrible, gráficos del año 2005",@yoker88,https://yt3.ggpht.com/ytc/AIf8zZTCxKa7yCNkSkm8FNRs1ilsoNQgbHsFtXltehmi=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCOCqB9Mqby7KmLcPUXGZQZg,{'value': 'UCOCqB9Mqby7KmLcPUXGZQZg'},True,none,0,2023-05-26T16:15:22Z,2023-05-26T16:15:22Z,,horrible gráficos año 2005,-0.5423,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,Próximo juego<br>Star Wars: la venganza de R2D2,"Próximo juego
Star Wars: la venganza de R2D2",@gerawilly159357,https://yt3.ggpht.com/ytc/AIf8zZRV_Y7s-qA7mauZxXGblMSII7ka7wqTf0TFFLwtTg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCteiRFppmLLfnSXpAGoIElQ,{'value': 'UCteiRFppmLLfnSXpAGoIElQ'},True,none,1,2023-05-26T06:18:39Z,2023-05-26T06:18:39Z,,próximo juegobrstar wars venganza r2d2,-0.5574,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"Se ve horrible esa porquería, la mejor saga de fantasía épica y hacen semejante bodrio","Se ve horrible esa porquería, la mejor saga de fantasía épica y hacen semejante bodrio",@Reaven1100,https://yt3.ggpht.com/vsH1OvvNqv-aRMQHPoz2VbBDd1elH5_zmOHO4yA9iT_V5W5oilMDzscTUXUKBSaUti4xwnhUDxA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCXVL2vnreRjD4_XVPgHxwAw,{'value': 'UCXVL2vnreRjD4_XVPgHxwAw'},True,none,0,2023-05-26T02:05:33Z,2023-05-26T02:05:33Z,,ve horrible porquería mejor saga fantasía épica hacen semejante bodrio,-0.5423,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,carajo Gollum le aplicaron DEMASIADO ACHE DE,carajo Gollum le aplicaron DEMASIADO ACHE DE,@Soragta,https://yt3.ggpht.com/xiwQblWLuGM8Gk97x21BkYZe5mVKRuGRGQp4Jf4qefGiAChcKB1QnJ3Omh4ijvZgkfKHR21fNA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCq_toqUJBg326RJyug0wopg,{'value': 'UCq_toqUJBg326RJyug0wopg'},True,none,0,2023-05-26T01:52:11Z,2023-05-26T01:52:11Z,,carajo gollum aplicaron demasiado ache,-0.3818,
UC05m1jT_pGm-DJKlpXsBYkA,,Eso lo dices sin jugarlo... Solo por qué se lo escuchas decir a un hater venido a más que le dejan hacer reseñas por pena.,Eso lo dices sin jugarlo... Solo por qué se lo escuchas decir a un hater venido a más que le dejan hacer reseñas por pena.,@huntercat4192,https://yt3.ggpht.com/ytc/AIf8zZSbW66dvnPR-vu-VGk_rjpdiApFEtcwpabIhzfC=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@huntercat4192,{'value': 'UCmjxn7My7J597U0pru8tyaA'},True,none,0,2023-05-26T23:54:47Z,2023-05-26T23:54:47Z,Ugz7kS7HM0yXR3Ul1814AaABAg,dices jugarlo solo escuchas decir hater venido dejan hacer reseñas pena,-0.4215,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"Dijisteis que la serie era mala antes de verla y os ha salido mal e...<br><br>Y en vez de rectificar, como la prensa internacional... Vosotros a manteneos en el ridículo...<br><br>+100 millones de espectadores<br>24000 millones de minutos visualizados ( tercera serie más vista de 2022) y nada menos que 14 nominaciones internacionales a premios. Que se sepa, al menos 9 de ellas ganadas.<br><br>Se ve que la serie inspirada (que no adaptación) ha cerrado bocas a golpe de éxito.<br><br><br>Os sale mal continuar ese camino, aunque el juego de Gollum tiene pésima pinta, y eso que no es el único juego horrible de este maravilloso universo","Dijisteis que la serie era mala antes de verla y os ha salido mal e...

Y en vez de rectificar, como la prensa internacional... Vosotros a manteneos en el ridículo...

+100 millones de espectadores
24000 millones de minutos visualizados ( tercera serie más vista de 2022) y nada menos que 14 nominaciones internacionales a premios. Que se sepa, al menos 9 de ellas ganadas.

Se ve que la serie inspirada (que no adaptación) ha cerrado bocas a golpe de éxito.


Os sale mal continuar ese camino, aunque el juego de Gollum tiene pésima pinta, y eso que no es el único juego horrible de este maravilloso universo",@drhoch3018,https://yt3.ggpht.com/ytc/AIf8zZQNaDXc_9FnDop77IhAoMvyXeNNrzlX0HWBN8Ln=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCkQu7uDE9bjJaeZ9RvppfwQ,{'value': 'UCkQu7uDE9bjJaeZ9RvppfwQ'},True,none,0,2023-05-25T22:08:16Z,2023-05-25T22:08:16Z,,dijisteis serie mala verla salido mal ebrbry vez rectificar prensa internacional manteneos ridículobrbr100 millones espectadoresbr24000 millones minutos visualizados tercera serie vista 2022 menos 14 nominaciones internacionales premios sepa menos 9 ganadasbrbrse ve serie inspirada adaptación cerrado bocas golpe éxitobrbrbros sale mal continuar camino aunque juego gollum pésima pinta único juego horrible maravilloso universo,-0.5423,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"Creo que es el mejor titulo de un video que he leido en toda mi lamentable vida. Excelente y sin haber jugado a este juego, creo que tienes toda la razon.  Un quiero y no puedo.","Creo que es el mejor titulo de un video que he leido en toda mi lamentable vida. Excelente y sin haber jugado a este juego, creo que tienes toda la razon.  Un quiero y no puedo.",@tavitotwiter,https://yt3.ggpht.com/ytc/AIf8zZS7WtUQjofUAKfm2WRT3E69KGFJOA5YZ7EFqzQoI7mo-uTl5RWtoBOLsk2aeNYi=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCXUkIazy1SZHM6UC2wLiM7A,{'value': 'UCXUkIazy1SZHM6UC2wLiM7A'},True,none,0,2023-05-25T21:50:31Z,2023-05-25T21:50:31Z,,creo mejor titulo video leido toda lamentable vida excelente haber jugado juego creo toda razon quiero puedo,-0.3612,
UC05m1jT_pGm-DJKlpXsBYkA,,Sin haberlo jugado dice... No os avergonzais  de pasaros la vida de rodillas tras el trasero del primer hater de turno?,Sin haberlo jugado dice... No os avergonzais  de pasaros la vida de rodillas tras el trasero del primer hater de turno?,@huntercat4192,https://yt3.ggpht.com/ytc/AIf8zZSbW66dvnPR-vu-VGk_rjpdiApFEtcwpabIhzfC=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@huntercat4192,{'value': 'UCmjxn7My7J597U0pru8tyaA'},True,none,1,2023-05-26T23:53:34Z,2023-05-26T23:53:34Z,UgxPtTRdM9BifYGDk094AaABAg,haberlo jugado dice avergonzais pasaros vida rodillas tras trasero primer hater turno,-0.4215,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"Se veía venir, ni si quiera se entiende a que tipo de fans está dirigido...hay juegos que desde el trailer ya sabes que nunca vas a jugar. Es una pena, LOTR tiene muy buenas historias es más yo esta la hubiera enfocado más en el terror y la locura que en el sigilo.","Se veía venir, ni si quiera se entiende a que tipo de fans está dirigido...hay juegos que desde el trailer ya sabes que nunca vas a jugar. Es una pena, LOTR tiene muy buenas historias es más yo esta la hubiera enfocado más en el terror y la locura que en el sigilo.",@johnatancorrea7658,https://yt3.ggpht.com/ytc/AIf8zZR_M73kfpvcUnyrAh72WNz8fsW_ALVQQqrcCA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCZIm2BJk0iwnWUtav-oLvDw,{'value': 'UCZIm2BJk0iwnWUtav-oLvDw'},True,none,0,2023-05-25T20:03:49Z,2023-05-25T20:03:49Z,,veía venir si quiera entiende tipo fans dirigidohay juegos trailer sabes nunca vas jugar pena lotr buenas historias enfocado terror locura sigilo,-0.5267,
UC05m1jT_pGm-DJKlpXsBYkA,,"Justo son franquicias millonarias por que no cuidan la calidad, ya que eso no va de la mano con cantidad. Mientras los fans sigan comprando todo sin quejarse más las sobreexplotaran. Ejemplo star wars y Pokémon","Justo son franquicias millonarias por que no cuidan la calidad, ya que eso no va de la mano con cantidad. Mientras los fans sigan comprando todo sin quejarse más las sobreexplotaran. Ejemplo star wars y Pokémon",@grelyan,https://yt3.ggpht.com/b-YSgkPLM3OWcmW2T3Am3G73EI2vt5cbmL_Ons6ioZJ5ZLGctnDo5D06U4Ti8lKibizGhUAm1Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@grelyan,{'value': 'UCqfSynDMDc0KH1xTUkbQ8gA'},True,none,0,2023-05-25T21:56:39Z,2023-05-25T21:56:39Z,Ugy4YJzPdVqEIL-sGX54AaABAg,justo franquicias millonarias cuidan calidad va mano cantidad mientras fans sigan comprando quejarse sobreexplotaran ejemplo star wars pokémon,-0.5574,
UC05m1jT_pGm-DJKlpXsBYkA,,"​​@Grelyan Pero los fans de star wars se quejan de todo, incluso se quejan de los productos antes de que se estrenen. Ya sean malos como las secuelas o cosas buenas como Rogue One y Andor.","​​@Grelyan Pero los fans de star wars se quejan de todo, incluso se quejan de los productos antes de que se estrenen. Ya sean malos como las secuelas o cosas buenas como Rogue One y Andor.",@mariocornejo3139,https://yt3.ggpht.com/4aAm65o6x2RtmL7pl-DdcRcnuTE-P3f2kpxL66exArMSRSWGL9o5qk3h1iS4RxhevCJPAro_uA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mariocornejo3139,{'value': 'UCzxL7oPRAOSlu3_raqB96WQ'},True,none,0,2023-05-27T17:58:26Z,2023-05-27T17:58:43Z,Ugy4YJzPdVqEIL-sGX54AaABAg,grelyan fans star wars quejan incluso quejan productos estrenen malos secuelas cosas buenas rogue one andor,-0.5574,
UC05m1jT_pGm-DJKlpXsBYkA,,"@Grelyan Ni tanto. Los juguetes de star wars disminuyeron en ventas, Andor aunque le fue bien en premios y crítica tuvo un nivel de audiencia bajo, The Mandalorian le fue mal en critica y audiencia con  la temporada 3.","@Grelyan Ni tanto. Los juguetes de star wars disminuyeron en ventas, Andor aunque le fue bien en premios y crítica tuvo un nivel de audiencia bajo, The Mandalorian le fue mal en critica y audiencia con  la temporada 3.",@mariocornejo3139,https://yt3.ggpht.com/4aAm65o6x2RtmL7pl-DdcRcnuTE-P3f2kpxL66exArMSRSWGL9o5qk3h1iS4RxhevCJPAro_uA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mariocornejo3139,{'value': 'UCzxL7oPRAOSlu3_raqB96WQ'},True,none,0,2023-05-27T18:26:54Z,2023-05-27T18:26:54Z,Ugy4YJzPdVqEIL-sGX54AaABAg,grelyan juguetes star wars disminuyeron ventas andor aunque bien premios crítica nivel audiencia bajo the mandalorian mal critica audiencia temporada 3,-0.5574,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"Vaya que decepcion y eso que esperaba mucho de este juego, queria ver algunas de las mejores escenas de las peliculas, como en las minas de moria que muestre como gollum le hizo para seguirlos y claro que muestren la pelea del balrog vs gandalf pero creo que pedimos mucho, ademas ese estilo de arte....como que le falta, por ejemplo el shadow of war y el shadow of mordor se ven mucho mejor que esto y  en el shadow of mordor aparece tambien gollum y ese gollum se ve mejor que este","Vaya que decepcion y eso que esperaba mucho de este juego, queria ver algunas de las mejores escenas de las peliculas, como en las minas de moria que muestre como gollum le hizo para seguirlos y claro que muestren la pelea del balrog vs gandalf pero creo que pedimos mucho, ademas ese estilo de arte....como que le falta, por ejemplo el shadow of war y el shadow of mordor se ven mucho mejor que esto y  en el shadow of mordor aparece tambien gollum y ese gollum se ve mejor que este",@elsenorlag90,https://yt3.ggpht.com/ytc/AIf8zZTsxOoJVHO7pk8ckbF1oIqk2bzP7bGacIcfFMpW=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC_gvD914akrxVaA6l4ZDqAg,{'value': 'UC_gvD914akrxVaA6l4ZDqAg'},True,none,0,2023-05-25T15:13:27Z,2023-05-25T15:13:27Z,,vaya decepcion esperaba juego queria ver mejores escenas peliculas minas moria muestre gollum hizo seguirlos claro muestren pelea balrog vs gandalf creo pedimos ademas estilo artecomo falta ejemplo shadow of war shadow of mordor ven mejor shadow of mordor aparece tambien gollum gollum ve mejor,-0.5994,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"Que saquen otro juego de la saga shadow of mordor / shadow of war con el sistema nemesis, a quién se le ocurre hacer un juego de Gollum? En ese universo quiero cortar cabezas,no esconderme.","Que saquen otro juego de la saga shadow of mordor / shadow of war con el sistema nemesis, a quién se le ocurre hacer un juego de Gollum? En ese universo quiero cortar cabezas,no esconderme.",@Smackk91,https://yt3.ggpht.com/vOzbx1h4Ma93xTLKDmqe0lTzU8mU9PlTY5BF054gVL_SvN31uxncrJGP6umU_kdRu7xddJFU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCqJRDmmN49F2AJMmSIRHkXA,{'value': 'UCqJRDmmN49F2AJMmSIRHkXA'},True,none,4,2023-05-25T14:41:31Z,2023-05-25T14:41:31Z,,saquen juego saga shadow of mordor shadow of war sistema nemesis quién ocurre hacer juego gollum universo quiero cortar cabezasno esconderme,-0.5994,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,El diseño de personajes se ve horrible,El diseño de personajes se ve horrible,@rommelferreyra4414,https://yt3.ggpht.com/N7u1tvOKHSUOKw-WhIIwLmh-lmjCc4yxj8zT9SOpILRe7FGGsAnoHb0bLszRkTBnEzbJ9Ya4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC64-U6MC3zOVIfMbmJFYcJQ,{'value': 'UC64-U6MC3zOVIfMbmJFYcJQ'},True,none,0,2023-05-25T14:26:40Z,2023-05-25T14:26:40Z,,diseño personajes ve horrible,-0.5423,
UC05m1jT_pGm-DJKlpXsBYkA,,Y con la mejor ip y tremenda historia señor de los anillos a tu con star wars,Y con la mejor ip y tremenda historia señor de los anillos a tu con star wars,@dariogonzalez9956,https://yt3.ggpht.com/ytc/AIf8zZQuwpp0l_olv9iQBXPmWe9j-E1gG_ad3O4bIE_JCA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@dariogonzalez9956,{'value': 'UCQsEAPGC5SDRRSYB6ZKz6Jw'},True,none,0,2023-05-25T14:29:26Z,2023-05-25T14:29:26Z,Ugx-bctnXi4m_FPhXid4AaABAg,mejor ip tremenda historia señor anillos star wars,-0.5574,
UC05m1jT_pGm-DJKlpXsBYkA,,Lamentable la verdad tremenda ip tremenda historia y sacan esto el peor de todo sin duda y para ps5 sin palabras,Lamentable la verdad tremenda ip tremenda historia y sacan esto el peor de todo sin duda y para ps5 sin palabras,@dariogonzalez9956,https://yt3.ggpht.com/ytc/AIf8zZQuwpp0l_olv9iQBXPmWe9j-E1gG_ad3O4bIE_JCA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@dariogonzalez9956,{'value': 'UCQsEAPGC5SDRRSYB6ZKz6Jw'},True,none,0,2023-05-25T14:23:33Z,2023-05-25T14:23:33Z,UgyUaERc1ZFMwVyggSd4AaABAg,lamentable verdad tremenda ip tremenda historia sacan peor duda ps5 palabras,-0.3612,
UC05m1jT_pGm-DJKlpXsBYkA,,Ufff Shadow of morados increíble. Ahí tengo el Shadows of war en mi lista de espera.,Ufff Shadow of morados increíble. Ahí tengo el Shadows of war en mi lista de espera.,@Xerxes534,https://yt3.ggpht.com/ytc/AIf8zZQJ8krGwSBiAsaalRNWd2XaxdV0CWA92Y78m3oxFtU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Xerxes534,{'value': 'UCBvUZYJMwAfvskYXz1N7uiw'},True,none,0,2023-05-28T08:23:54Z,2023-05-28T08:23:54Z,UgxyIJTLa0D9yasOylR4AaABAg,ufff shadow of morados increíble ahí shadows of war lista espera,-0.5994,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"Y uno aquí jugando ésta basura, mejor retomo Star Wars Survivors","Y uno aquí jugando ésta basura, mejor retomo Star Wars Survivors",@JeanChoy,https://yt3.ggpht.com/GebO4YbjTFNpG8PfwZ1P5F1eJ6xPyhYsVzyYSDtOdXFR0j8PYVPW-HIiP_NMAOLX3Ps0VHNZAOA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC8i1J9eHqYPgYDhzw6hlKdw,{'value': 'UC8i1J9eHqYPgYDhzw6hlKdw'},True,none,0,2023-05-25T12:15:24Z,2023-05-25T12:15:24Z,,aquí jugando ésta basura mejor retomo star wars survivors,-0.5574,
UC05m1jT_pGm-DJKlpXsBYkA,,El peor fue Crime Boss,El peor fue Crime Boss,@matiasguzman96,https://yt3.ggpht.com/ytc/AIf8zZRSrL2jwv5l7Vcu79mZay7IjXkK0sMP4ZV2OQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@matiasguzman96,{'value': 'UC2HRrnXAvXO5Rumoww3awwg'},True,none,0,2023-05-25T18:35:10Z,2023-05-25T18:35:10Z,UgzOBGdQ3IExUhWO4Qx4AaABAg,peor crime boss,-0.5423,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"Se ve igual que Styx: Shards of Darkness. Lo siento, pero no... Gracias por la review. SI eso, ya lo pillaré en algún bundle de Fanatical...","Se ve igual que Styx: Shards of Darkness. Lo siento, pero no... Gracias por la review. SI eso, ya lo pillaré en algún bundle de Fanatical...",@PinchosTV,https://yt3.ggpht.com/l4dkdJxhtGePt9TgSJZG0jyZq3ILFgjhBPi9g6otQCh4w6KWUu15Dsm7hd-V_hhCmi7xXPzoxw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC0lvaRFqNJ5kr8BhzfOgdpg,{'value': 'UC0lvaRFqNJ5kr8BhzfOgdpg'},True,none,0,2023-05-25T11:53:54Z,2023-05-25T11:53:54Z,,ve igual styx shards of darkness siento gracias review si pillaré algún bundle fanatical,-0.25,
